7731	6099	5462	9394	5196
4977	6802	7888	6835	6932
5276	5040	5939	1318	9101
6228	6489	4782	8148	1163
6576	531	1780	1918	6180
87	9688	8806	4293	1592
5692	7990	938	6237	4331
4918	3973	3570	5586	7494
8165	8331	5497	6360	5947
3513	9921	8908	664	4442
3124	3540	3418	9510	165
9272	2216	9190	7046	701
7731	6099	5462	9394	5196
4977	6802	7888	6835	6932
5276	5040	5939	1318	9101
6228	6489	4782	8148	1163
6576	531	1780	1918	6180
87	9688	8806	4293	1592
5692	7990	938	6237	4331
4918	3973	3570	5586	7494
8165	8331	5497	6360	5947
3513	9921	8908	664	4442
3124	3540	3418	9510	165
9272	2216	9190	7046	701
