7731	6099	5462	9394	5196
4977	6802	7888	6835	6932
5276	5040	5939	1318	9101
6228	6489	4782	8148	1163
6576	531	1780	1918	6180
87	9688	8806	4293	1592
5692	7990	938	6237	4331
4918	3973	3570	5586	7494
8165	8331	5497	6360	5947
3513	9921	8908	664	4442
3124	3540	3418	9510	165
9272	2216	9190	7046	701
7731	6099	5462	9394	5196
4977	6802	7888	6835	6932
5276	5040	5939	1318	9101
6228	6489	4782	8148	1163
6576	531	1780	1918	6180
87	9688	8806	4293	1592
5692	7990	938	6237	4331
4918	3973	3570	5586	7494
8165	8331	5497	6360	5947
3513	9921	8908	664	4442
3124	3540	3418	9510	165
9272	2216	9190	7046	701
6545	2874	8183	5520	9816
3015	726	2172	4660	907
149	8234	1527	2189	4428
9993	9905	6841	2598	8580
434	634	6485	457	5182
6815	590	745	9693	8031
4581	6694	2788	831	4176
8414	6727	3657	8751	9377
5679	4175	4504	6731	2368
7613	4988	5383	6897	8614
2576	6841	37	5286	641
1619	9890	9600	8554	6940
9492	5071	9223	4481	5824
882	3774	982	5317	2208
2868	6749	2978	7012	1949
8659	82	3789	7287	7571
6923	1418	6331	1410	8792
13	6333	8112	2523	5880
7060	8578	733	1076	5906
7958	1620	252	8561	2090
8895	7104	5389	6673	8136
5872	7482	2395	7450	2066
3154	3014	7875	8383	5884
1825	7266	1861	8520	5280
9956	8765	4157	1482	7381
4232	398	3312	3428	8430
4358	1705	7272	7968	6809
9712	1474	215	3986	3741
824	4911	5351	1517	5714
1054	5256	3896	3485	4903
3095	2796	1840	862	473
5833	5143	2944	4231	7144
5994	2665	2951	7738	194
9096	5176	5866	5405	1517
3110	9921	864	5450	6600
5417	1966	9446	5562	7241
1560	8764	2332	2279	2872
2727	4463	4782	2226	2781
574	9233	2940	7652	4380
4249	7603	7631	3868	4479
3114	6495	3016	1812	3497
6667	2797	8344	236	8930
135	6988	294	4264	6793
6192	1304	7417	44	6725
4782	2201	3442	288	4368
4506	3246	8740	6086	1740
9909	3509	6556	2271	8233
7861	9436	450	4701	3294
6102	730	6959	2029	1114
8306	9244	6070	6885	4311
866	6959	4013	2384	4631
2875	5728	7496	2996	2945
7509	2519	9312	1108	4832
2620	8093	7542	9263	8803
7517	8562	1900	6874	3894
9584	1983	5434	6972	6150
9494	5189	962	6971	1137
608	8216	7423	3243	3706
4649	5177	7120	7763	6445
102	9375	6088	3843	2103
6990	1345	8558	8146	7766
4728	6541	8028	9249	9664
2290	4072	5259	7262	2891
2595	4655	6473	5847	8203
6343	5541	8851	1359	3876
688	3242	2683	6768	9485
4530	6865	990	6268	6877
9709	2213	7929	9833	1182
2083	2948	849	2491	9251
8105	3797	3258	4500	3298
7839	4588	9157	7627	650
885	5586	6933	5519	3473
8292	5996	3949	4132	8205
7527	8204	8385	5557	6188
4569	4154	3504	6838	1739
5293	5396	657	9655	142
5002	9610	4357	664	7280
6778	949	1684	1286	5905
2094	5300	4442	3782	4315
7383	3206	3511	813	5787
2456	3258	2008	6542	9914
1850	1745	7799	7607	4915
2820	7327	727	9197	8100
6166	5233	3796	6843	284
8581	1856	1448	2893	3815
1836	8978	4678	8441	2016
3091	2364	3862	3386	7638
398	3543	2587	875	9861
9358	83	8121	1144	2394
5961	6538	6683	2558	1328
5886	2837	9317	616	3364
7010	5684	2155	6831	7525
3784	7595	7779	3243	572
3108	8072	1942	4198	3784
4923	6603	3492	2703	8188
839	2771	208	9042	2915
1582	3979	3294	9734	9967
4359	1621	7874	5687	1900
2834	2449	9098	5109	4347
8396	2202	7839	8948	7097
965	5399	1924	4552	7171
9371	589	2241	4512	6160
8106	6303	5482	4097	8472
4797	3114	4091	3589	9803
